vp;group;prz_emotionhappy;prz_emotionsad;prz_neutralhappy;prz_neutralsad;n_scale1_emotionhappy;n_scale1_emotionsad;n_scale1_neutralhappy;n_scale1_neutralsad;efficiency_emotionhappy;efficiency_emotionsad;efficiency_neutralhappy;efficiency_neutralsad
100;control;55,9523809523810;65,0000000000000;92,3076923076923;87,5000000000000;93;195;140;140;0,6016385048643114;0,3333333333333333;0,659340659340659;0,625000000000000
101;experimental;80,3921568627451;59,3750000000000;83,0303030303030;83,9393939393939;96;142;118;118;0,8374183006535948;0,4181338028169014;0,703646635850026;0,711350796096559
102;control;88,5714285714286;72,4444444444444;75,5172413793103;77,5862068965517;82;154;120;120;1,0801393728222997;0,4704184704184704;0,629310344827586;0,646551724137931
103;control;79,3750000000000;72,7450980392157;65,7575757575758;67,7272727272727;91;291;194;194;0,8722527472527473;0,2499831547739370;0,338956576069978;0,349109653233365
104;control;71,1111111111111;66,0000000000000;81,6666666666667;79,8333333333333;103;126;115;115;0,6903991370010788;0,5238095238095238;0,710144927536232;0,694202898550725
105;control;85,1111111111111;84,6666666666667;70,0000000000000;70,3333333333333;90;97;93;94;0,9456790123456791;0,8728522336769760;0,752688172043011;0,748226950354610
S07;control;78,2051282051282;66,6666666666667;76,3829787234043;78,1914893617021;123;151;136;136;0,6358140504481968;0,4415011037527593;0,561639549436796;0,574937421777222
S08;control;56,1666666666667;58,2352941176471;89,1891891891892;87,8378378378378;213;263;236;236;0,2636932707355242;0,2214269738313576;0,377920293174530;0,372194228126431
S10;control;60,0000000000000;61,0000000000000;82,5581395348837;85,2325581395349;93;128;109;109;0,6451612903225806;0,4765625000000000;0,757414124173245;0,781950074674632
S12;control;72,4561403508772;71,1111111111111;84,0000000000000;76,5000000000000;151;170;161;161;0,4798419890786569;0,4183006535947713;0,521739130434783;0,475155279503106
S14;experimental;73,5294117647059;71,4285714285714;77,3684210526316;73,4210526315789;259;129;187;188;0,2838973427208721;0,5537098560354374;0,413734871939206;0,390537513997760
S15;experimental;87,1014492753623;85,2873563218391;60,1923076923077;52,1153846153846;129;223;181;182;0,6752050331423435;0,3824545126539869;0,332554186145346;0,286348267117498
S16;experimental;75,2777777777778;77,6666666666667;78,6363636363636;78,4090909090909;85;128;105;105;0,8856209150326797;0,6067708333333333;0,748917748917749;0,746753246753247
S17;experimental;71,0416666666667;63,9583333333333;91,8750000000000;87,0312500000000;76;109;93;93;0,9347587719298246;0,5867737003058103;0,987903225806452;0,935819892473118
S18;control;65,7692307692308;43,0952380952381;87,2222222222222;84,5370370370370;124;335;233;234;0,5303970223325062;0,1286425017768301;0,374344301382928;0,361269389047167
S19;experimental;68,6666666666667;62,2807017543860;87,1794871794872;88,5897435897436;83;132;106;107;0,8273092369477912;0,4718234981392877;0,822447992259313;0,827941528876108
S20;experimental;76,1538461538461;56,8750000000000;90,0000000000000;90,8620689655172;83;114;100;100;0,9175162187210379;0,4989035087719298;0,900000000000000;0,908620689655172
S21;control;85,7575757575758;79,5833333333333;68,0434782608696;71,3043478260870;102;129;116;116;0,8407605466428996;0,6169250645994832;0,586581709145427;0,614692653673163
S22;control;84,2424242424242;72,2666666666667;76,8085106382979;73,2978723404255;166;149;157;157;0,5074844833880978;0,4850111856823266;0,489226182409541;0,466865428919908
S23;experimental;75,6060606060606;82,2222222222222;81,0204081632653;80,4081632653061;90;135;115;115;0,8400673400673401;0,6090534979423867;0,704525288376220;0,699201419698314
S24;experimental;79,0000000000000;82,2807017543860;85,1282051282051;82,4358974358974;70;95;83;82;1,1285714285714286;0,8661126500461680;1,025641025641026;1,005315822388993
S25;control;76,1904761904762;80,6060606060606;70,2325581395349;73,1395348837209;155;146;150;150;0,4915514592933948;0,5520963055209631;0,468217054263566;0,487596899224806
S26;control;93,4722222222222;87,7777777777778;58,8888888888889;52,1111111111111;138;199;166;166;0,6773349436392915;0,4410943606923506;0,354752342704150;0,313922356091031
S27;control;74,7826086956522;76,2121212121212;84,6666666666667;77,0000000000000;72;122;97;97;1,0386473429951690;0,6246895181321410;0,872852233676976;0,793814432989691
S28;control;76,2068965517241;87,7777777777778;83,0188679245283;78,4905660377359;106;154;128;128;0,7189329863370201;0,5699855699855699;0,648584905660377;0,613207547169811
S29;control;91,4035087719298;79,1666666666667;75,1282051282051;71,0256410256410;100;83;91;91;0,9140350877192982;0,9538152610441766;0,825584671738518;0,780501549732319
S30;experimental;89,1666666666667;92,5925925925926;57,3684210526316;64,8684210526316;76;150;110;111;1,1732456140350878;0,6172839506172839;0,521531100478469;0,584400189663348
S31;control;80,9090909090909;82,9166666666667;68,0434782608696;75,7608695652174;76;127;103;102;1,0645933014354068;0,6528871391076115;0,660616293794850;0,742753623188406
S32;control;87,8205128205128;79,3333333333333;75,4347826086957;73,6956521739130;103;111;106;107;0,8526263380632313;0,7147147147147147;0,711648892534865;0,688744412840309
S33;experimental;81,7460317460317;42,5396825396825;80,7142857142857;85,5952380952381;91;136;114;114;0,8983080411651840;0,3127917833800187;0,708020050125313;0,750835421888053
S34;experimental;73,0000000000000;63,3333333333333;75,5000000000000;76,6250000000000;108;151;129;130;0,6759259259259259;0,4194260485651214;0,585271317829457;0,589423076923077
S35;control;77,0175438596491;73,6842105263158;83,9473684210526;77,7631578947368;114;114;114;114;0,6755924899969221;0,6463527239150507;0,736380424746076;0,682132963988920
S36;control;78,5185185185185;79,2424242424242;65,2500000000000;65,2500000000000;123;155;140;141;0,6383619391749473;0,5112414467253177;0,466071428571429;0,462765957446808
S37;control;89,0476190476190;91,5384615384615;60,2127659574468;59,1489361702128;130;138;134;134;0,6849816849816849;0,6633221850613155;0,449348999682439;0,441409971419498
S38;experimental;75,8888888888889;79,0000000000000;69,2000000000000;72,4000000000000;79;151;108;108;0,9606188466947960;0,5231788079470199;0,640740740740741;0,670370370370370
S39;experimental;70,8333333333333;74,7619047619048;79,7560975609756;80,4878048780488;84;118;102;102;0,8432539682539684;0,6335754640839386;0,781922525107604;0,789096126255380
S40;experimental;78,6666666666667;67,5555555555556;79,0000000000000;80,3333333333333;111;144;128;128;0,7087087087087086;0,4691358024691358;0,617187500000000;0,627604166666667
S41;control;80,9722222222222;91,9444444444444;56,8750000000000;57,3958333333333;108;313;210;210;0,7497427983539096;0,2937522186723465;0,270833333333333;0,273313492063492
S42;experimental;37,8787878787879;57,9365079365079;83,2558139534884;79,0697674418605;515;160;342;342;0,0735510444248308;0,3621031746031746;0,243438052495580;0,231198150414797
S44;experimental;81,1111111111111;80,6666666666667;55,2631578947368;58,9473684210526;84;151;119;119;0,9656084656084657;0,5342163355408388;0,464396284829721;0,495356037151703
S45;control;80,1388888888889;88,8235294117647;53,4146341463415;59,6341463414634;95;257;162;162;0,8435672514619883;0,3456168459601739;0,329719963866305;0,368112014453478
S46;control;89,5000000000000;72,5000000000000;62,5000000000000;68,6250000000000;123;209;166;166;0,7276422764227642;0,3468899521531100;0,376506024096386;0,413403614457831
S47;control;89,5833333333333;85,0980392156863;65,1515151515152;61,6666666666667;154;143;148;147;0,5817099567099567;0,5950911833264774;0,440212940212940;0,419501133786848
S48;control;93,3333333333333;85,4901960784314;45,8823529411765;56,6176470588235;111;223;166;166;0,8408408408408408;0,3833641079750286;0,276399716513111;0,341070163004961
S49;control;83,7777777777778;75,5555555555556;65,1515151515152;68,7878787878788;160;153;156;156;0,5236111111111110;0,4938271604938272;0,417637917637918;0,440947940947941
S50;control;71,1111111111111;73,3333333333333;76,7500000000000;73,0000000000000;241;111;179;180;0,2950668510834486;0,6606606606606606;0,428770949720670;0,405555555555556
S51;control;69,4444444444444;64,0000000000000;79,3939393939394;74,2424242424242;176;188;182;182;0,3945707070707071;0,3404255319148936;0,436230436230436;0,407925407925408
S53;control;68,2666666666667;58,7719298245614;73,1818181818182;74,3181818181818;162;186;172;173;0,4213991769547325;0,3159781173363517;0,425475687103594;0,429584866001051
S54;control;67,8333333333333;64,3137254901961;88,1081081081081;84,5945945945946;141;113;128;128;0,4810874704491725;0,5691480131875759;0,688344594594595;0,660895270270270
S55;control;76,3768115942029;68,0303030303030;76,0000000000000;80,5555555555556;83;187;134;134;0,9202025493277457;0,3637984119267542;0,567164179104478;0,601160862354892
S56;experimental;62,8571428571429;89,5238095238095;62,1428571428571;63,3928571428571;106;459;282;282;0,5929919137466307;0,1950409793547049;0,220364741641337;0,224797365754813
S57;control;78,4126984126984;82,1052631578947;69,5000000000000;60,7500000000000;273;147;214;213;0,2872260015117158;0,5585392051557465;0,324766355140187;0,285211267605634
S59;experimental;66,0000000000000;56,6666666666667;86,2500000000000;88,3750000000000;71;127;100;99;0,9295774647887324;0,4461942257217847;0,862500000000000;0,892676767676768
S61;experimental;56,6666666666667;64,0000000000000;65,5000000000000;60,3750000000000;986;321;571;571;0,0574712643678161;0,1993769470404984;0,114711033274956;0,105735551663748
S62;experimental;61,9696969696970;57,6000000000000;94,4680851063830;93,1914893617021;114;137;126;126;0,5435938330675173;0,4204379562043795;0,749746707193516;0,739614994934144
S63;experimental;65,8333333333333;35,3030303030303;84,7619047619048;86,4285714285714;128;276;206;205;0,5143229166666666;0,1279095300834431;0,411465557096625;0,421602787456446
S64;control;68,0701754385965;91,3725490196078;73,6111111111111;70,4166666666667;73;99;86;85;0,9324681566931027;0,9229550406020994;0,855943152454780;0,828431372549020
S65;control;73,6666666666667;81,2962962962963;77,8947368421053;77,2368421052632;66;107;85;85;1,1161616161616161;0,7597784700588440;0,916408668730650;0,908668730650155
S66;experimental;69,1666666666667;56,8115942028986;81,3953488372093;85,0000000000000;121;162;143;143;0,5716253443526171;0,3506888531043121;0,569198243616848;0,594405594405594
S67;experimental;76,1904761904762;60,5128205128205;82,2222222222222;86,2962962962963;56;147;100;100;1,3605442176870748;0,4116518402232688;0,822222222222222;0,862962962962963
S68;experimental;73,6507936507937;66,5079365079365;80,2380952380952;81,6666666666667;77;122;99;99;0,9565038136466709;0,5451470205568566;0,810485810485810;0,824915824915825
S69;experimental;78,0000000000000;81,7647058823529;77,0270270270270;79,3243243243243;86;113;98;98;0,9069767441860465;0,7235814679854242;0,785990071704357;0,809431880860452
S70;control;83,3333333333333;82,0000000000000;78,2926829268293;74,2682926829268;83;105;94;94;1,0040160642570282;0,7809523809523810;0,832900882200311;0,790088220031136
S71;control;84,3859649122807;71,1111111111111;70,7500000000000;72,6250000000000;111;144;129;129;0,7602339181286549;0,4938271604938272;0,548449612403101;0,562984496124031
S72;experimental;66,3333333333333;36,2222222222222;88,2857142857143;90,2857142857143;120;378;232;232;0,5527777777777777;0,0958259847148736;0,380541871921182;0,389162561576355
S73;experimental;70,3703703703704;81,1111111111111;82,0512820512820;76,5384615384615;73;117;97;97;0,9639776763064434;0,6932573599240266;0,845889505683320;0,789056304520222
S74;experimental;74,6666666666667;73,6666666666667;85,2500000000000;86,0000000000000;74;126;100;100;1,0090090090090091;0,5846560846560847;0,852500000000000;0,860000000000000
S75;control;88,0392156862745;83,7037037037037;59,1428571428571;59,0000000000000;98;169;134;134;0,8983593437374949;0,4952881875958798;0,441364605543710;0,440298507462687
S76;experimental;45,5000000000000;20,7017543859649;98,4615384615385;98,3333333333333;128;1219;661;660;0,3554687500000000;0,0169825712764273;0,148958454556034;0,148989898989899
S77;experimental;72,8205128205128;57,4074074074074;80,0000000000000;75,9090909090909;94;226;147;149;0,7746863066012002;0,2540150770239266;0,544217687074830;0,509456985967053
S78;control;76,8333333333333;87,0000000000000;69,5000000000000;73,6250000000000;92;101;96;96;0,8351449275362318;0,8613861386138614;0,723958333333333;0,766927083333333
S79;experimental;88,1818181818182;88,6666666666667;66,1904761904762;66,9047619047619;108;103;106;106;0,8164983164983165;0,8608414239482202;0,624438454627134;0,631176999101527
S80;experimental;73,3333333333333;56,0000000000000;88,7500000000000;89,6250000000000;83;151;117;117;0,8835341365461847;0,3708609271523179;0,758547008547009;0,766025641025641
S81;control;76,0869565217391;53,6842105263158;87,6190476190476;85,4761904761905;99;245;166;165;0,7685551163812034;0,2191192266380236;0,527825588066552;0,518037518037518
S82;experimental;75,8169934640523;82,6666666666667;77,1712158808933;75,1552795031056;101;102;101;101;0,7506633016242801;0,8104575163398693;0,764071444365280;0,744111678248570
S83;experimental;79,6491228070175;67,9166666666667;83,4285714285714;81,4285714285714;86;129;106;105;0,9261525907792738;0,5264857881136952;0,787061994609164;0,775510204081633
S84;control;74,1666666666667;68,8235294117647;76,6666666666667;75,6060606060606;84;128;107;106;0,8829365079365080;0,5376838235294118;0,716510903426791;0,713264722698685
S85;control;67,3333333333333;56,8888888888889;84,4000000000000;88,6000000000000;82;106;97;97;0,8211382113821137;0,5366876310272536;0,870103092783505;0,913402061855670
S86;control;93,3333333333333;92,9166666666667;59,4594594594595;65,9459459459460;71;116;91;91;1,3145539906103285;0,8010057471264368;0,653400653400653;0,724680724680725
S87;experimental;91,5555555555556;81,3333333333333;75,6666666666667;72,5000000000000;77;107;92;92;1,1890331890331891;0,7601246105919003;0,822463768115942;0,788043478260870
S88;experimental;73,3333333333333;56,6666666666667;71,7241379310345;75,6896551724138;111;221;168;169;0,6606606606606606;0,2564102564102564;0,426929392446634;0,447867782085289
S89;experimental;78,2539682539683;77,7777777777778;67,6190476190476;70,4761904761905;109;191;150;150;0,7179263142565895;0,4072134962187319;0,450793650793651;0,469841269841270
S90;experimental;83,3333333333333;57,1111111111111;52,7272727272727;59,8484848484849;100;376;226;224;0,8333333333333335;0,1518912529550827;0,233306516492357;0,267180735930736
S91;experimental;84,6296296296296;81,3333333333333;74,5454545454545;78,3333333333333;73;106;88;88;1,1593099949264334;0,7672955974842767;0,847107438016529;0,890151515151515
S92;experimental;72,9629629629630;42,7450980392157;77,7142857142857;79,5714285714286;100;253;175;175;0,7296296296296296;0,1689529566767418;0,444081632653061;0,454693877551020
S93;experimental;75,1851851851852;67,1666666666667;76,8421052631579;74,6052631578947;116;312;220;219;0,6481481481481481;0,2152777777777777;0,349282296650718;0,340663302090844
S94;experimental;81,9444444444444;75,0000000000000;72,0833333333333;73,7500000000000;119;165;142;142;0,6886087768440710;0,4545454545454545;0,507629107981221;0,519366197183099
S95;control;60,6666666666667;51,7777777777778;95,6666666666667;96,1666666666667;147;136;142;142;0,4126984126984127;0,3807189542483660;0,673708920187793;0,677230046948357
S96;experimental;71,9607843137255;83,3333333333333;74,0625000000000;72,3437500000000;138;153;145;145;0,5214549587951122;0,5446623093681918;0,510775862068966;0,498922413793103
S97;control;73,1578947368421;73,8095238095238;83,0000000000000;83,1250000000000;80;92;86;86;0,9144736842105263;0,8022774327122153;0,965116279069767;0,966569767441861
S98;experimental;66,4285714285714;58,8888888888889;85,8620689655173;85,6896551724138;121;161;142;142;0,5489964580873672;0,3657694962042788;0,604662457503643;0,603448275862069
S99;control;71,7777777777778;72,2916666666667;69,6774193548387;72,2580645161290;141;150;145;146;0,5090622537431048;0,4819444444444445;0,480533926585095;0,494918250110473
